no,word,jp
980,retrieve,取り戻す、回収する、（データを）検索する
981,reunion,再会、同窓会
982,reviewer,批評家、審査員
983,revision,改訂、修正
984,revolutionize,大変革をもたらす
985,rewrite,書き直す
986,rider,乗り手、（契約の）付帯条項
987,rose,バラ
988,rubber,ゴム
989,rug,敷物、じゅうたん
990,rumor,うわさ
991,runner,走者、ランナー
992,safely,安全に、無事に
993,salad,サラダ
994,salesman,販売員、営業マン
995,salespeople,販売員たち
996,salesperson,販売員、営業担当
997,salon,店、サロン
998,sandwich,サンドイッチ
999,satellite,衛星、人工衛星
1000,satisfactory,満足のいく
1001,sauna,サウナ
1002,scarf,スカーフ、マフラー
1003,scenery,景色、風景
1004,scholarship,奨学金、学識
1005,sculpture,彫刻
1006,seafood,海産物、シーフード
1007,seaside,海辺、海岸
1008,seasonal,季節の、季節限定の
1009,sedan,セダン（型自動車）
1010,seeker,求める人、探求者
1011,seldom,めったに〜しない
1012,seller,売り手、売れ行き商品
1013,semester,学期
1014,seminar,セミナー、研究会
1015,sender,送り主、差出人
1016,separately,別々に
1017,serial,連続の、通し番号の
1018,sew,縫う
1019,sewer,下水道
1020,sharply,急激に、鋭く
1021,shipment,発送、出荷（品）
1022,shopper,買い物客
1023,shortage,不足
1024,shorten,短くする
1025,shortly,まもなく、手短に
1026,showroom,展示室、ショールーム
1027,shuttle,定期往復便、シャトル
1028,sidewalk,歩道
1029,sightsee,観光する
1030,signature,署名、サイン
1031,signify,意味する、示す
1032,silently,静かに、黙って
1033,similarity,類似（点）
1034,simplify,単純化する
1035,sincerely,心から（Sincerely 敬具）
1036,skate,スケートをする
1037,skateboard,スケートボード
1038,sketch,スケッチ、下絵、概略
1039,skim,ざっと読む、すくい取る
1040,sleepy,眠い
1041,sleeve,そで
1042,slot,細長い穴、（予定の）枠
1043,smartphone,スマートフォン
1044,smoothly,滑らかに、順調に
1045,snack,軽食、おやつ
1046,snowy,雪の（多い）
1047,soap,せっけん
1048,soar,急上昇する、舞い上がる
1049,soccer,サッカー
1050,sock,靴下
1051,sofa,ソファ
1052,solar,太陽の、太陽光の
1053,someday,いつか
1054,sometime,いつか、そのうち
1055,soup,スープ
1056,spa,温泉、スパ
1057,spacious,広々とした
1058,spam,迷惑メール
1059,specially,特別に
1060,specialty,専門、名物、得意料理
1061,specification,仕様（書）、明細
1062,spectator,観客、見物人
1063,spill,こぼす、こぼれる
1064,spite,悪意（in spite of 〜にもかかわらず）
1065,spokesperson,広報担当者、代弁者
1066,spouse,配偶者
1067,spray,スプレー（で吹きつける）
1068,spreadsheet,表計算（ソフト）
1069,stack,積み重ね（る）
1070,stadium,競技場、スタジアム
1071,staple,ホチキスで留める、主要な、主食
1072,stapler,ホチキス
1073,stationery,文房具、便箋
1074,statistics,統計（学）
1075,statue,像、彫像
1076,steadily,着実に、絶えず
1077,steak,ステーキ
1078,steer,操縦する、導く
1079,stereo,ステレオ
1080,sticker,ステッカー、シール
1081,stimulus,刺激、励み
1082,stockbroker,証券仲買人
1083,stockholder,株主
1084,storeroom,貯蔵室、物置
1085,strategic,戦略的な
1086,streamline,合理化する、能率化する
1087,strictly,厳密に、厳しく
1088,stripe,しま、ストライプ
1089,submission,提出（物）、服従
1090,subscribe,定期購読する、加入する
1091,subscriber,定期購読者、加入者
1092,subscription,定期購読、加入
1093,subsidize,助成する、補助金を出す
1094,substantially,大幅に、実質的に
1095,subtract,差し引く、引き算する
1096,suburb,郊外
1097,subway,地下鉄
1098,sue,訴える、告訴する
1099,suitcase,スーツケース
1100,suite,スイートルーム、一式
1101,sunny,晴れた
1102,sunscreen,日焼け止め
1103,sunshine,日光、日なた
1104,superb,素晴らしい、極上の
1105,superior,より優れた、上役
1106,supermarket,スーパーマーケット
1107,supervise,監督する、指揮する
1108,supervisor,監督者、上司
1109,surf,波乗りをする、（ネットを）閲覧する
1110,suspicious,怪しい、疑わしい
1111,sweater,セーター
1112,tablecloth,テーブルクロス
1113,tablet,タブレット（端末）、錠剤
1114,tactic,戦術、方策
1115,tag,荷札、タグ
1116,tailor,仕立て屋、（要望に）合わせる
1117,takeover,買収、乗っ取り、引き継ぎ
1118,taker,受け取る人、引き受ける人
1119,tasty,おいしい
1120,tech,技術、テクノロジー
1121,technician,技術者、技師
1122,teen,ティーンエイジャー
1123,telecommunication,電気通信
1124,teller,（銀行の）窓口係
1125,temporarily,一時的に
1126,tempt,誘惑する、そそる
1127,tenant,借家人、テナント
1128,terminal,終着駅、ターミナル、端末
1129,terminate,終了させる、解雇する
1130,termination,終了、解約
1131,terrific,素晴らしい
1132,textbook,教科書
1133,theft,窃盗、盗み
1134,thirsty,のどが渇いた
1135,thorough,徹底的な、完全な
1136,thoroughly,徹底的に、完全に
1137,thrill,わくわくさせる、スリル
1138,thunderstorm,雷雨
1139,tidy,きちんとした、片づける
1140,tile,タイル
1141,timeline,予定表、時系列
1142,timely,タイミングのよい、時宜を得た
1143,timer,タイマー
1144,timetable,時刻表、予定表
1145,toiletry,洗面用品、化粧品
1146,toll,通行料、通話料、犠牲
1147,tomato,トマト
1148,ton,トン
1149,toner,トナー（印刷用）
1150,tow,けん引する、レッカー移動する
1151,towel,タオル
1152,trademark,商標、トレードマーク
1153,traditionally,伝統的に
1154,trainee,研修生、実習生
1155,trainer,訓練士、トレーナー
1156,transaction,取引、処理
1157,transit,輸送、通過（in transit 輸送中）
1158,translation,翻訳
1159,translator,翻訳者
1160,transmission,送信、伝達、変速機
1161,transmit,送信する、伝える
1162,trash,ごみ
1163,traveler,旅行者
1164,tray,盆、トレー
1165,tremendous,途方もない、素晴らしい
1166,tropical,熱帯の
1167,tuition,授業料、指導
1168,tuna,マグロ、ツナ
1169,tunnel,トンネル
1170,turnover,売上高、離職率、回転率
1171,umbrella,傘
1172,unattended,付き添いのない、放置された
1173,unauthorize,権限を与えない（unauthorized 無許可の）
1174,unavailable,入手できない、手が空いていない
1175,uncomfortable,心地よくない、不快な
1176,underground,地下の
1177,underline,下線を引く、強調する
1178,underway,進行中で
1179,unemployed,失業中の
1180,unexpected,予期しない、意外な
1181,unfamiliar,なじみのない、不案内な
1182,unhappy,不幸な、不満な
1183,unlimited,無制限の
1184,unload,荷を降ろす
1185,unnecessary,不要な
1186,unpaid,未払いの、無給の
1187,unpleasant,不快な
1188,unplug,プラグを抜く
1189,unreal,非現実的な
1190,unreliable,当てにならない、信頼できない
1191,unspecified,明記されていない、不特定の
1192,unsure,確信のない、自信のない
1193,unused,使われていない、未使用の
1194,unusually,異常に、いつになく
1195,upcoming,来たるべき、今度の
1196,upgrade,格上げする、性能を上げる
1197,upstairs,階上に
1198,urgent,緊急の
1199,urgently,緊急に
1200,usage,使用（法）、語法
1201,utility,公共料金、実用性、ユーティリティー
1202,vacancy,空室、欠員
1203,vacant,空いている、空席の
1204,vacate,立ち退く、（席などを）空ける
1205,vacation,休暇
1206,vacuum,真空、掃除機（をかける）
1207,valid,有効な、正当な
1208,validate,有効にする、確認する
1209,vanilla,バニラ
1210,vase,花瓶
1211,vegetarian,菜食主義者（の）
1212,vend,販売する
1213,vendor,販売業者、売り手
1214,venue,開催地、会場
1215,verbal,言葉の、口頭の
1216,verify,確認する、証明する
1217,videoconference,テレビ会議
1218,violate,違反する、侵害する
1219,violation,違反、侵害
1220,violin,バイオリン
1221,visa,ビザ、査証
1222,vitamin,ビタミン
1223,volleyball,バレーボール
1224,voucher,引換券、クーポン、伝票
1225,waiter,ウエイター、給仕
1226,waitress,ウエイトレス
1227,waive,（権利などを）放棄する、免除する
1228,walkway,歩道、通路
1229,wallet,財布
1230,ward,病棟、（行政の）区
1231,warehouse,倉庫
1232,warranty,保証（書）
1233,webpage,ウェブページ
1234,website,ウェブサイト
1235,weekday,平日
1236,wellness,健康（増進）
1237,whale,クジラ
1238,wheelchair,車いす
1239,whoever,〜する人は誰でも
1240,wildlife,野生生物
1241,willingness,快く〜する気持ち、意欲
1242,windy,風の強い
1243,wireless,無線の
1244,wisely,賢明に
1245,withdrawal,引き出し、撤退、取り消し
1246,wool,羊毛、ウール
1247,workbook,練習帳、作業手順書
1248,workforce,労働力、全従業員
1249,workplace,職場
1250,workshop,作業場、研修会
1251,worldwide,世界的な、世界中で
1252,worthwhile,やりがいのある、価値のある
1253,wrinkle,しわ
1254,wristwatch,腕時計
1255,yearly,毎年の、年1回の
1256,yen,円（通貨）
1257,yoga,ヨガ
1258,zoo,動物園
